PK,BARRIO
5281,HELLIN
5282,CANILLAS
5283,FONTARRON
5284,MEDIA LEGUA
5170,CASTELLANA
5289,SAN FERMIN
5286,SIMANCAS
5285,PUERTA BONITA
5291,LOS ANGELES
5262,ARCOS
5287,VALVERDE
5292,LOS CARMENES
5288,ZOFIO
5293,BUENAVISTA
5295,ARAVACA
5298,TRAFALGAR
5300,SAN CRISTOBAL
5301,CONCEPCION
5302,SAN ANDRES
5303,ARAPILES
5305,ABRANTES
6028,PALACIO
5306,PACIFICO
5308,SAN JUAN BAUTISTA
5309,VENTAS
5310,NUEVA ESPAÑA
5311,PINAR DEL REY
5312,PORTAZGO
5313,SAN ANDRES
5314,EMBAJADORES
5316,LEGAZPI
5317,IMPERIAL
42016,CASCO H.VICALVARO
5318,VALVERDE
5319,PALACIO
5320,AMBROZ
5325,PORTAZGO
5326,VALDEFUENTES
4690940,CASCO H.VICALVARO
5740,ESTRELLA
5741,UNIVERSIDAD
5078,CASCO H.VICALVARO
5116,LAS AGUILAS
6724,ORCASUR
6726,CANILLAS
5149,NIÑO JESUS
5150,VALDEZARZA
5167,NUMANCIA
5082,PUEBLO NUEVO
5184,NUEVA ESPAÑA
5186,JUSTICIA
5203,LOS ROSALES
5153,CANILLEJAS
7048498,TIMON
5231,EL SALVADOR
5209,ARCOS
5240,DELICIAS
5290,OPAÑEL
5304,ACACIAS
5315,PORTAZGO
5411,PRADOLONGO
5742,SAN DIEGO
5743,COLINA
10618357,VALVERDE
5744,NIÑO JESUS
5745,LOS JERONIMOS
5752,PALOMERAS BAJAS
5751,FUENTE DEL BERRO
6073,MARROQUINA
5758,ARGUELLES
5759,PACIFICO
5757,ALMAGRO
5423,NUEVA ESPAÑA
5756,PALACIO
5754,CASCO H.VALLECAS
5753,CASTILLA
5755,MOSCARDO
5490,VALVERDE
6074,ARGUELLES
5764,LOS ANGELES
6272,PALOS DE MOGUER
5421,HISPANOAMERICA
5770,SAN ISIDRO
5773,EMBAJADORES
5775,CUATRO CAMINOS
5358,LOS CARMENES
5766,LUCERO
5590,EMBAJADORES
6076,CASCO H.VALLECAS
5767,SAN FERMIN
5498,EL PARDO
5413,EL VISO
5768,VISTA ALEGRE
5772,LOS ROSALES
5771,CHOPERA
6043,VALVERDE
5780,PIOVERA
5781,LUCERO
5779,PUEBLO NUEVO
5774,SAN DIEGO
5778,BERRUGUETE
5776,IMPERIAL
5777,PALOMERAS BAJAS
6077,BELLAS VISTAS
6078,ALUCHE
5783,PRADOLONGO
5784,MARROQUINA
6080,PUERTA DEL ANGEL
5787,EL VISO
5788,LOS ROSALES
5789,CORRALEJOS
5492,PEÑA GRANDE
5414,EL VISO
22117,PALOS DE MOGUER
5794,ZOFIO
5434,ROSAS
31661,NUEVA ESPAÑA
6036,FUENTE DEL BERRO
6263,PALACIO
5674,ABRANTES
5422,NUEVA ESPAÑA
5433,SIMANCAS
5681,NIÑO JESUS
5689,CANILLAS
5691,ALUCHE
5695,JUSTICIA
5491,VALVERDE
5701,ORCASITAS
5388,PALOMAS
5412,PUERTA BONITA
5706,PALOMERAS SURESTE
5713,ARAVACA
5707,VISTA ALEGRE
5971,CIUDAD UNIVERSITARIA
5708,CONCEPCION
5709,NIÑO JESUS
5715,EL VISO
5711,VALLEHERMOSO
5165473,EL GOLOSO
5716,SAN ISIDRO
5718,ENTREVIAS
5720,PUERTA BONITA
22702,CANILLAS
5721,FUENTE DEL BERRO
5724,COLINA
5589,FONTARRON
5436,CANILLEJAS
5593,ENTREVIAS
5349,CIUDAD UNIVERSITARIA
6040,PUEBLO NUEVO
43405,RIOS ROSAS
5568,RIOS ROSAS
5591,VINATEROS
5592,MEDIA LEGUA
5608,SAN PASCUAL
6125029,CASCO H.VALLECAS
8350056,VALDEMARIN
6041,NUMANCIA
5569,ROSAS
5590457,CASCO H.VALLECAS
5618,ENTREVIAS
86516,VALVERDE
5528,GUINDALERA
5750,FUENTE DEL BERRO
6206,VALDEMARIN
7053564,EL VISO
6407,CIUDAD UNIVERSITARIA
22394,PALOMERAS BAJAS
4693693,VALDEFUENTES
5495,EL PILAR
5633,VISTA ALEGRE
5626,SAN ANDRES
5587968,SAN ANDRES
6062,PACIFICO
6044,MIRASIERRA
5489,EL PILAR
5647,PINAR DEL REY
5595,NUEVA ESPAÑA
5424,NUEVA ESPAÑA
5661,SANTA EUGENIA
6779,CORTES
6785,EL VISO
101755,LOS ROSALES
6681,CASA DE CAMPO
6697,ARGUELLES
6672,UNIVERSIDAD
6689,SAN JUAN BAUTISTA
6693,VALDEACEDERAS
6694,LUCERO
101754,LOS ROSALES
4631819,PUERTA BONITA
124847,GAZTAMBIDE
6791,CHOPERA
11015679,CHOPERA
101581,PACIFICO
6843,CASTILLA
11749306,GOYA
10325615,EMBAJADORES
10325662,PACIFICO
10091277,IBIZA
27188,CASA DE CAMPO
6674,UNIVERSIDAD
6690,CASA DE CAMPO
129434,ARAVACA
7407746,HISPANOAMERICA
26410,CASA DE CAMPO
6847,SOL
6712,CIUDAD UNIVERSITARIA
88550,CUATRO VIENTOS
10404243,ALAMEDA DE OSUNA
20815,PACIFICO
11168264,PEÑA GRANDE
8187758,LISTA
6700,PALOS DE LA FRONTERA
6713,EL VISO
20821,VALDEMARIN
24408,GOYA
10092518,EL PILAR
20831,LISTA
10704982,PROSPERIDAD
6701,ARGUELLES
24410,CIUDAD UNIVERSITARIA
20837,ALUCHE
20841,FUENTE DEL BERRO
6715,UNIVERSIDAD
10091314,ABRANTES
