Código barrio,Nombre barrio,Codigo distrito,Nombre distrito,Fecha datos,Índice de Vulnerabilidad Bienestar Social e Igualdad,Índice de Vulnerabilidad Bienestar Social e Igualdad - media distrito,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad,Índice de Vulnerabilidad Medio Ambiente Urbano y Movilidad - media distrito,Índice de Vulnerabilidad Educación y Cultura,Índice de Vulnerabilidad Educación y Cultura - media distrito,Índice de Vulnerabilidad Economía y Empleo,Índice de Vulnerabilidad Economía y Empleo - media distrito,Índice de Vulnerabilidad Salud,Índice de Vulnerabilidad Salud - media distrito
97,Aravaca,9,Moncloa - Aravaca,2021,5.89,6.04,5.68,9.6,4.06,4.74,5,5.25,6.99,8.22
101,Cármenes,10,Latina,2021,8.94,6.8,5.5,6.33,10.64,8.75,10.6,8.97,7.07,6.55
102,Puerta del Ángel,10,Latina,2021,6.94,6.8,7.33,6.33,8.23,8.75,9.97,8.97,6.91,6.55
103,Lucero,10,Latina,2021,6.57,6.8,5.9,6.33,8.51,8.75,9.21,8.97,6.5,6.55
104,Aluche,10,Latina,2021,6.25,6.8,6.78,6.33,8.65,8.75,8.63,8.97,6.5,6.55
105,Campamento,10,Latina,2021,6.58,6.8,7.4,6.33,8.33,8.75,9.74,8.97,5.99,6.55
106,Cuatro Vientos,10,Latina,2021,10.87,6.8,5.35,6.33,9.13,8.75,8.09,8.97,10.31,6.55
107,Águilas,10,Latina,2021,6.43,6.8,5.21,6.33,8.92,8.75,7.67,8.97,5.93,6.55
111,Comillas,11,Carabanchel,2021,8.75,8.97,7.77,8.71,12.57,11.7,10.92,10.92,6.06,6.36
112,Opañel,11,Carabanchel,2021,8.67,8.97,9.53,8.71,10.68,11.7,10.92,10.92,6.48,6.36
113,San Isidro,11,Carabanchel,2021,8.75,8.97,6.64,8.71,11.27,11.7,10.92,10.92,6.67,6.36
114,Vista Alegre,11,Carabanchel,2021,8.47,8.97,10.87,8.71,13.03,11.7,10.92,10.92,6.02,6.36
115,Puerta Bonita,11,Carabanchel,2021,10.73,8.97,11.03,8.71,11.35,11.7,10.92,10.92,7.35,6.36
116,Buenavista,11,Carabanchel,2021,8.89,8.97,8.35,8.71,10.42,11.7,10.92,10.92,5.82,6.36
117,Abrantes,11,Carabanchel,2021,8.58,8.97,5.73,8.71,13.05,11.7,10.92,10.92,6.22,6.36
121,Orcasitas,12,Usera,2021,8.15,8.68,5.02,6.1,12.57,12.36,9.81,12.63,7.77,7.85
122,Orcasur,12,Usera,2021,8.05,8.68,5.21,6.1,12.78,12.36,13.89,12.63,8.09,7.85
