,price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
324,179999,planta 5,exterior,2,68.0,1,0,Abrantes,carabanchel
325,339900,planta 3,exterior,1,90.0,1,1,Valdeacederas,tetuan
326,145000,bajo,exterior,1,45.0,1,0,San Diego,puente-de-vallecas
327,699000,planta 3,exterior,1,91.0,1,0,Jerónimos,Jerónimos
328,300000,planta 1,exterior,1,43.0,1,0,Canillas,hortaleza
329,529000,planta 4,exterior,3,89.0,1,0,Palacio,centro
330,1250000,planta 4,exterior,3,220.0,1,0,Castillejos,tetuan
331,1137000,planta 4,exterior,5,196.0,1,0,Argüelles,moncloa
332,889000,planta 2,exterior,3,117.0,1,0,Universidad,centro
333,1250000,planta 4,exterior,3,220.0,1,0,Cuatro Caminos,tetuan
335,445000,bajo,exterior,1,73.0,1,0,Argüelles,moncloa
336,345000,planta 2,exterior,1,64.0,1,0,Canillas,hortaleza
337,249000,planta 1,interior,1,30.0,1,0,Universidad,centro
338,1500000,planta 3,exterior,4,237.0,1,1,Aravaca,moncloa
339,799000,planta 2,exterior,2,100.0,1,0,Trafalgar,chamberi
341,609000,planta 3,exterior,2,89.0,1,0,Guindalera,salamanca
342,475000,planta 3,exterior,4,98.0,1,1,Canillas,hortaleza
343,412000,casa,exterior,3,103.0,1,1,Simancas,san-blas
344,760000,planta 2,exterior,4,200.0,1,1,Almenara,tetuan
345,200000,bajo,exterior,3,153.0,1,0,San Diego,puente-de-vallecas
346,1790000,planta 4,exterior,3,140.0,1,1,Recoletos,salamanca
350,800000,planta 4,exterior,3,105.0,1,0,Universidad,centro
351,818000,planta 3,exterior,2,109.0,1,0,Justicia,centro
352,1550000,planta 2,interior,2,151.0,1,0,Recoletos,salamanca
353,400000,bajo,interior,2,52.0,1,0,Sol,centro
354,1200000,planta 3,exterior,2,174.0,1,0,Hispanoamérica,chamartin
356,155000,planta 4,exterior,3,60.0,1,0,Canillejas,san-blas
357,309000,planta 2,exterior,3,92.0,1,0,Media Legua,moratalaz
358,950000,planta 6,exterior,2,78.0,1,0,Trafalgar,chamberi
359,498000,planta 5,interior,3,196.0,1,1,Ensanche de Vallecas,villa-de-vallecas
360,745000,planta 1,exterior,3,132.0,1,0,Sol,centro
361,1670000,bajo,exterior,4,213.0,1,1,Nueva España,chamartin
362,1250000,planta 8,exterior,4,210.0,1,0,Vallehermoso,chamberi
364,329000,planta 3,exterior,2,102.0,1,0,San Diego,puente-de-vallecas
365,229000,planta 1,interior,3,84.0,1,0,Quintana,ciudad lineal
367,530000,planta 3,exterior,3,102.0,1,0,Embajadores,centro
368,790000,planta 2,exterior,2,126.0,1,0,Justicia,centro
369,168000,bajo,exterior,3,68.0,1,0,Pueblo Nuevo,ciudad lineal
370,1700000,planta 1,exterior,4,245.0,1,1,Nueva España,chamartin
371,365000,sotano,exterior,2,77.0,1,0,Goya,salamanca
372,257000,bajo,exterior,2,110.0,1,0,Bellas Vistas,tetuan
373,190000,bajo,exterior,1,47.0,1,0,Castillejos,tetuan
374,919000,planta 1,exterior,3,112.0,1,0,Universidad,centro
375,850000,planta 3,exterior,2,90.0,1,0,Hispanoamérica,chamartin
376,361000,planta 2,exterior,0,56.0,1,1,Valdeacederas,tetuan
377,1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca
379,985000,planta 1,exterior,3,185.0,1,1,Jerónimos,Jerónimos
380,3500000,planta 6,exterior,4,251.0,1,0,Jerónimos,Jerónimos
381,525000,planta 1,exterior,4,86.0,1,0,Niño Jesús,retiro
382,139000,planta 4,exterior,1,28.0,1,0,Embajadores,centro
383,3600000,planta 3,exterior,3,316.0,1,0,Castellana,salamanca
384,3100000,planta 5,exterior,4,322.0,1,0,Trafalgar,chamberi
385,750000,planta 3,exterior,1,54.0,1,0,Recoletos,salamanca
386,2100000,planta 1,exterior,4,268.0,1,1,Argüelles,moncloa
387,229000,planta 1,exterior,0,35.0,1,1,Casco Histórico de Barajas,barajas
388,652000,planta 1,exterior,3,114.0,1,1,Peñagrande,fuencarral
389,2600000,planta 5,exterior,4,214.0,1,0,Almagro,chamberi
390,850000,planta 1,exterior,4,151.0,1,1,Peñagrande,fuencarral
391,350000,planta 3,exterior,0,32.0,1,0,Justicia,centro
392,1490000,planta 2,exterior,3,145.0,1,0,Trafalgar,chamberi
393,650000,planta 4,exterior,2,87.0,1,1,Trafalgar,chamberi
394,175508,planta 3,exterior,1,53.0,1,1,Casco Histórico de Vallecas,villa-de-vallecas
395,523000,bajo,exterior,2,98.0,1,1,Peñagrande,fuencarral
396,1401000,planta 3,exterior,5,222.0,1,1,Peñagrande,fuencarral
397,3860000,planta 2,exterior,5,410.0,1,1,Recoletos,salamanca
399,1100000,planta 2,exterior,2,101.0,1,0,Justicia,centro
400,3250000,planta 13,exterior,5,340.0,1,1,El Viso,chamartin
401,189000,planta 1,exterior,1,39.0,1,0,Embajadores,centro
406,980000,planta 1,exterior,3,145.0,1,1,Valdemarín,moncloa
407,260000,planta 3,interior,1,60.0,1,0,Palacio,centro
409,1985000,planta 7,exterior,3,245.0,1,1,Lista,salamanca
410,1380000,planta 1,exterior,2,133.0,1,1,Goya,salamanca
411,950000,planta 5,exterior,3,125.0,1,1,Trafalgar,chamberi
412,1450000,planta 2,exterior,4,258.0,1,1,Hispanoamérica,chamartin
414,259000,planta 1,exterior,0,37.0,1,0,Delicias,arganzuela
415,1875000,planta 4,exterior,5,220.0,1,1,Lista,salamanca
416,799000,planta 1,interior,3,127.0,1,0,El Viso,chamartin
417,695000,planta 2,exterior,2,103.0,1,0,Goya,salamanca
419,254900,planta 3,interior,2,54.0,1,0,Palacio,centro
