price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
889000,planta 2,exterior,3,117.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
445000,bajo,exterior,1,73.0,1,0,Argüelles,moncloa,0.0,5.25,23.84,3.97,5.57,5.97
345000,planta 2,exterior,1,64.0,1,0,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55
249000,planta 1,interior,1,30.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
799000,planta 2,exterior,2,100.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91
609000,planta 3,exterior,2,89.0,1,0,Guindalera,salamanca,1.0,6.17,5.73,4.94,4.63,7.34
475000,planta 3,exterior,4,98.0,1,1,Canillas,hortaleza,1.0,4.84,6.74,6.07,5.39,8.55
412000,casa,exterior,3,103.0,1,1,Simancas,san-blas,0.0,8.8,5.46,9.44,8.83,6.48
200000,bajo,exterior,3,153.0,1,0,San Diego,puente-de-vallecas,0.0,12.89,8.94,11.01,15.23,6.97
1790000,planta 4,exterior,3,140.0,1,1,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
800000,planta 4,exterior,3,105.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
818000,planta 3,exterior,2,109.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
1550000,planta 2,interior,2,151.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
400000,bajo,interior,2,52.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
1200000,planta 3,exterior,2,174.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32
155000,planta 4,exterior,3,60.0,1,0,Canillejas,san-blas,0.0,6.2,6.24,7.96,8.3,5.88
309000,planta 2,exterior,3,92.0,1,0,Media Legua,moratalaz,1.0,8.64,5.24,8.97,9.02,6.26
950000,planta 6,exterior,2,78.0,1,0,Trafalgar,chamberi,0.0,6.52,11.82,5.6,5.37,9.91
498000,planta 5,interior,3,196.0,1,1,Ensanche de Vallecas,villa-de-vallecas,1.0,8.93,5.28,11.0,8.64,6.02
745000,planta 1,exterior,3,132.0,1,0,Sol,centro,0.0,13.04,26.06,6.79,9.32,15.45
329000,planta 3,exterior,2,102.0,1,0,San Diego,puente-de-vallecas,0.0,12.89,8.94,11.01,15.23,6.97
229000,planta 1,interior,3,84.0,1,0,Quintana,ciudad lineal,0.0,6.2,12.09,5.87,8.41,6.76
530000,planta 3,exterior,3,102.0,1,0,Embajadores,centro,0.0,9.77,9.24,5.46,10.08,8.12
790000,planta 2,exterior,2,126.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
168000,bajo,exterior,3,68.0,1,0,Pueblo Nuevo,ciudad lineal,2.0,5.74,7.56,6.53,8.17,6.18
365000,sotano,exterior,2,77.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
257000,bajo,exterior,2,110.0,1,0,Bellas Vistas,tetuan,0.0,6.46,11.66,9.13,9.37,6.02
190000,bajo,exterior,1,47.0,1,0,Castillejos,tetuan,1.0,6.75,8.8,10.44,7.04,6.64
919000,planta 1,exterior,3,112.0,1,0,Universidad,centro,0.0,9.99,11.46,4.88,7.75,9.71
850000,planta 3,exterior,2,90.0,1,0,Hispanoamérica,chamartin,0.0,5.56,7.37,5.15,4.38,6.32
361000,planta 2,exterior,0,56.0,1,1,Valdeacederas,tetuan,0.0,7.15,4.91,11.54,9.31,8.41
1450000,planta 3,exterior,3,139.0,1,0,Goya,salamanca,1.0,8.01,21.75,6.81,5.42,5.63
985000,planta 1,exterior,3,185.0,1,1,Jerónimos,Jerónimos,0.0,9.05,3.24,3.36,4.7,13.62
525000,planta 1,exterior,4,86.0,1,0,Niño Jesús,retiro,0.0,6.08,7.24,5.27,3.89,6.6
139000,planta 4,exterior,1,28.0,1,0,Embajadores,centro,0.0,9.77,9.24,5.46,10.08,8.12
750000,planta 3,exterior,1,54.0,1,0,Recoletos,salamanca,0.0,8.15,22.48,4.55,5.59,6.19
229000,planta 1,exterior,0,35.0,1,1,Casco Histórico de Barajas,barajas,0.0,6.67,6.87,4.04,6.52,7.45
652000,planta 1,exterior,3,114.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19
850000,planta 1,exterior,4,151.0,1,1,Peñagrande,fuencarral,1.0,5.95,5.62,5.3,5.14,6.19
350000,planta 3,exterior,0,32.0,1,0,Justicia,centro,2.0,9.89,8.44,6.66,7.56,9.58
