price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district
229100,planta 1,exterior,2,49.0,1,0,Delicias,arganzuela
140000,bajo,exterior,1,31.0,1,0,Chopera,arganzuela
355000,planta 6,exterior,3,83.0,1,0,Acacias,arganzuela
280000,planta 2,interior,3,53.0,1,0,Chopera,arganzuela
118000,planta 1,interior,1,35.0,1,0,Delicias,arganzuela
285000,planta 1,exterior,1,70.0,1,0,Acacias,arganzuela
150000,planta 2,interior,1,32.0,1,0,Delicias,arganzuela
360000,planta 1,exterior,3,105.0,1,0,Delicias,arganzuela
230000,planta 3,exterior,1,47.0,1,0,Palos de Moguer,arganzuela
285000,planta 2,interior,1,50.0,1,0,Palos de Moguer,arganzuela
160000,planta 4,interior,2,37.0,1,0,Palos de Moguer,arganzuela
189000,bajo,exterior,2,61.0,1,0,Acacias,arganzuela
355000,planta 4,exterior,3,78.0,1,0,Acacias,arganzuela
283000,planta 1,interior,3,68.0,1,0,Palos de Moguer,arganzuela
295000,planta 2,exterior,2,50.0,1,0,Acacias,arganzuela
375000,planta 1,exterior,1,65.0,1,0,Delicias,arganzuela
565000,planta 7,exterior,2,100.0,1,0,Delicias,arganzuela
149000,planta -1,interior,1,34.0,1,0,Acacias,arganzuela
300000,planta 1,exterior,1,71.0,1,0,Delicias,arganzuela
264000,entreplanta,exterior,3,95.0,1,0,Chopera,arganzuela
180000,planta 4,interior,1,27.0,1,0,Palos de Moguer,arganzuela
300000,planta 1,exterior,2,79.0,1,0,Imperial,arganzuela
229100,planta 1,exterior,2,52.0,1,0,Delicias,arganzuela
500000,planta 6,exterior,2,127.0,1,0,Palos de Moguer,arganzuela
439000,planta 1,interior,4,117.0,1,0,Delicias,arganzuela
370000,planta 4,interior,3,115.0,1,0,Palos de Moguer,arganzuela
223000,planta 2,exterior,2,65.0,1,0,Palos de Moguer,arganzuela
455000,planta 2,exterior,3,107.0,1,0,Palos de Moguer,arganzuela
175000,planta 2,interior,1,45.0,1,0,Palos de Moguer,arganzuela
126000,bajo,interior,1,36.0,1,0,Acacias,arganzuela
165000,planta 1,interior,1,30.0,1,0,Palos de Moguer,arganzuela
199999,planta 1,interior,1,49.0,1,0,Palos de Moguer,arganzuela
175000,planta 1,interior,2,45.0,1,0,Acacias,arganzuela
380000,planta 2,interior,3,90.0,1,0,Palos de Moguer,arganzuela
360000,planta 2,exterior,3,80.0,1,0,Palos de Moguer,arganzuela
128000,bajo,interior,1,43.0,1,0,Chopera,arganzuela
395000,planta 1,exterior,2,87.0,1,0,Acacias,arganzuela
285000,entreplanta,exterior,3,97.0,1,0,Chopera,arganzuela
330000,planta 5,interior,3,82.0,1,0,Acacias,arganzuela
530000,planta 1,exterior,5,142.0,1,0,Palos de Moguer,arganzuela
239000,planta 1,exterior,3,55.0,1,0,Chopera,arganzuela
180000,bajo,exterior,1,45.0,1,0,Chopera,arganzuela
425000,planta 1,exterior,4,89.0,1,0,Acacias,arganzuela
314900,planta 1,exterior,1,77.0,1,0,Legazpi,arganzuela
250000,planta 3,interior,3,67.0,1,0,Chopera,arganzuela
175000,planta 2,interior,1,35.0,1,0,Delicias,arganzuela
455000,planta 2,exterior,3,110.0,1,0,Palos de Moguer,arganzuela
320000,bajo,exterior,3,93.0,1,0,Legazpi,arganzuela
425000,planta 3,exterior,2,101.0,1,0,Imperial,arganzuela
565000,bajo,interior,3,114.0,1,0,Legazpi,arganzuela
309000,planta 2,interior,2,67.0,1,0,Imperial,arganzuela
185000,planta 3,interior,1,43.0,1,0,Delicias,arganzuela
233000,planta 3,interior,1,60.0,1,0,Chopera,arganzuela
325000,bajo,exterior,2,75.0,1,0,Palos de Moguer,arganzuela
299000,bajo,exterior,3,101.0,1,0,Imperial,arganzuela
315000,bajo,exterior,1,65.0,1,0,Delicias,arganzuela
183000,planta 2,interior,2,49.0,1,0,Palos de Moguer,arganzuela
490000,planta 5,exterior,4,150.0,1,0,Chopera,arganzuela
420000,planta 3,exterior,4,122.0,1,0,Alameda de Osuna,barajas
520000,planta 3,exterior,3,180.0,1,0,Casco Histórico de Barajas,barajas
345000,planta 1,exterior,3,95.0,1,0,Alameda de Osuna,barajas
392600,planta 2,exterior,3,138.0,1,0,Timón,barajas
545000,planta 6,exterior,4,135.0,1,0,Alameda de Osuna,barajas
640000,planta 9,exterior,5,220.0,1,0,Alameda de Osuna,barajas
340000,planta 2,exterior,3,85.0,1,0,Alameda de Osuna,barajas
350000,bajo,exterior,2,131.0,1,0,Alameda de Osuna,barajas
185000,planta 2,exterior,1,68.0,1,0,Casco Histórico de Barajas,barajas
990000,planta 4,exterior,3,251.0,1,0,Corralejos,barajas
349000,bajo,exterior,3,106.0,1,0,Alameda de Osuna,barajas
540000,planta 5,exterior,3,160.0,1,0,Alameda de Osuna,barajas
160000,bajo,exterior,3,70.0,1,0,Aeropuerto,barajas
365000,bajo,exterior,3,89.0,1,0,Alameda de Osuna,barajas
257500,bajo,exterior,2,64.0,1,0,Alameda de Osuna,barajas
272500,bajo,exterior,2,79.0,1,0,Alameda de Osuna,barajas
425000,planta 3,,3,109.0,1,0,Corralejos,barajas
170000,bajo,exterior,2,44.0,1,0,Corralejos,barajas
108000,planta 2,exterior,3,60.0,1,0,Aeropuerto,barajas
407000,bajo,exterior,4,124.0,1,0,Alameda de Osuna,barajas
379000,planta 6,exterior,4,132.0,1,0,Alameda de Osuna,barajas
719000,planta 8,exterior,5,245.0,1,0,Alameda de Osuna,barajas
329000,bajo,exterior,3,120.0,1,0,Alameda de Osuna,barajas
169000,planta 2,exterior,1,64.0,1,0,Casco Histórico de Barajas,barajas
280000,bajo,exterior,4,90.0,1,0,Timón,barajas
349999,planta 2,exterior,3,92.0,1,0,Alameda de Osuna,barajas
396000,planta 1,exterior,3,116.0,1,0,Timón,barajas
425000,bajo,exterior,4,145.0,1,0,Alameda de Osuna,barajas
