sq_mt_built,n_rooms,n_bathrooms,is_exact_address_hidden,floor,is_floor_under,rent_price,buy_price_by_area,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,energy_certificate,has_parking,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,built_year,neighbourhood,district,house_type
92.0,3,1.0,1,six,0.0,780,1738,0,0.0,0.0,1.0,1,0,1.0,1.0,in process,0,,,,,1962.0,Los Ángeles 132,Villaverde 21,Apartment
70.0,2,1.0,0,three,0.0,613,1671,0,0.0,0.0,1.0,1,1,0.0,1.0,in process,0,1.0,0.0,1.0,0.0,1975.0,San Andrés 134,Villaverde 21,Apartment
54.0,2,1.0,0,two,0.0,583,2037,0,0.0,0.0,1.0,0,0,0.0,1.0,E,0,0.0,0.0,1.0,0.0,1960.0,San Andrés 134,Villaverde 21,Apartment
52.0,2,1.0,1,one,0.0,539,1923,0,0.0,,,0,0,0.0,1.0,E,0,,,,,,Los Rosales 133,Villaverde 21,Apartment
108.0,3,1.0,1,two,0.0,705,1296,0,0.0,0.0,1.0,1,1,0.0,1.0,in process,0,0.0,1.0,0.0,1.0,1995.0,San Andrés 134,Villaverde 21,Apartment
65.0,2,1.0,1,three,0.0,568,1638,0,0.0,0.0,1.0,1,1,0.0,1.0,not indicated,0,0.0,0.0,1.0,0.0,1963.0,Los Rosales 133,Villaverde 21,Apartment
102.0,3,2.0,1,three,0.0,656,1250,0,0.0,0.0,1.0,0,0,0.0,1.0,in process,0,0.0,1.0,0.0,0.0,1964.0,Los Rosales 133,Villaverde 21,Apartment
80.0,2,1.0,1,three,0.0,736,1850,0,0.0,0.0,1.0,1,1,1.0,1.0,in process,1,0.0,0.0,0.0,1.0,1999.0,San Andrés 134,Villaverde 21,Apartment
108.0,2,1.0,1,four,0.0,933,1898,0,0.0,0.0,1.0,1,0,1.0,1.0,E,1,0.0,0.0,0.0,1.0,2002.0,Butarque 131,Villaverde 21,Duplex
80.0,3,2.0,1,four,0.0,979,2750,0,0.0,0.0,1.0,1,1,1.0,1.0,E,1,0.0,0.0,1.0,1.0,2000.0,Los Rosales 133,Villaverde 21,Apartment
16.0,3,1.0,1,one,0.0,600,7125,0,0.0,0.0,1.0,0,0,0.0,1.0,E,0,0.0,0.0,1.0,1.0,1970.0,Los Rosales 133,Villaverde 21,Apartment
54.0,2,1.0,1,three,0.0,493,1665,0,0.0,,,0,1,0.0,1.0,G,0,0.0,0.0,1.0,1.0,1964.0,San Andrés 134,Villaverde 21,Apartment
70.0,2,2.0,1,four,0.0,948,3000,0,0.0,0.0,1.0,1,1,1.0,1.0,E,1,0.0,1.0,1.0,0.0,2003.0,Los Rosales 133,Villaverde 21,Apartment
99.0,2,2.0,1,Mezzanine,1.0,725,1465,0,0.0,0.0,1.0,0,1,1.0,1.0,E,0,0.0,1.0,1.0,0.0,2007.0,San Andrés 134,Villaverde 21,Apartment
123.0,4,2.0,1,three,0.0,1135,2236,0,,,,1,0,1.0,1.0,not indicated,0,,,,,,Los Rosales 133,Villaverde 21,Apartment
64.0,3,1.0,1,five,0.0,557,1625,0,0.0,0.0,1.0,1,0,0.0,1.0,in process,0,,,,,,Los Ángeles 132,Villaverde 21,Apartment
107.0,3,2.0,0,six,0.0,1005,2137,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
76.0,2,2.0,0,six,0.0,813,2224,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
109.0,3,2.0,0,five,0.0,988,2046,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
108.0,3,2.0,0,five,0.0,979,2038,0,1.0,0.0,1.0,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,0,six,0.0,1026,2289,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
103.0,3,2.0,0,one,0.0,1052,2379,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
143.0,3,2.0,0,zero,1.0,1094,1818,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
99.0,3,2.0,0,six,0.0,1024,2374,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
100.0,3,2.0,0,three,0.0,1024,2350,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
176.0,2,2.0,0,six,0.0,1108,1506,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
87.0,2,2.0,0,two,0.0,884,2184,0,1.0,,,0,0,1.0,1.0,not indicated,1,,,,,,Butarque 131,Villaverde 21,Apartment
106.0,3,2.0,0,four,0.0,1084,2416,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
113.0,3,2.0,0,zero,1.0,1100,2318,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
115.0,3,2.0,0,one,0.0,1131,2377,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
129.0,3,2.0,0,seven,0.0,1194,2307,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
115.0,3,2.0,0,six,0.0,1148,2433,0,1.0,,,0,0,1.0,1.0,not indicated,0,,,,,,Butarque 131,Villaverde 21,Apartment
110.0,2,2.0,1,zero,1.0,686,1227,1,0.0,0.0,1.0,1,0,0.0,1.0,in process,0,,,,,,San Andrés 134,Villaverde 21,Apartment
90.0,3,2.0,0,two,0.0,901,2167,0,0.0,0.0,1.0,1,0,1.0,1.0,in process,0,,,,,1985.0,Los Ángeles 132,Villaverde 21,Apartment
60.0,2,1.0,1,one,0.0,654,2115,1,0.0,,,0,0,0.0,1.0,G,0,,,,,,Los Rosales 133,Villaverde 21,Apartment
54.0,2,1.0,0,,,691,2526,0,,,,0,0,0.0,,E,0,,,,,,Los Ángeles 132,Villaverde 21,Apartment
80.0,3,1.0,0,zero,1.0,725,1812,0,0.0,0.0,1.0,1,1,0.0,1.0,in process,0,0.0,0.0,0.0,1.0,,San Andrés 134,Villaverde 21,Apartment
73.0,2,1.0,1,one,0.0,656,1747,0,0.0,0.0,1.0,0,1,1.0,1.0,G,0,0.0,1.0,0.0,1.0,1999.0,San Andrés 134,Villaverde 21,Apartment
122.0,3,2.0,1,zero,1.0,847,1467,0,0.0,0.0,1.0,0,0,1.0,1.0,in process,1,0.0,1.0,1.0,0.0,1999.0,San Andrés 134,Villaverde 21,Apartment
