price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,urban_mobility_index,education_index,employment_index
179000,planta 1,exterior,2,79.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
142000,planta 1,exterior,2,54.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
435000,planta 5,exterior,4,135.0,1,1,Abrantes,carabanchel,740.0,5.73,13.05,10.92
120000,planta 2,exterior,2,60.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
148000,planta 5,exterior,2,58.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
190000,planta 5,exterior,2,70.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
115000,planta 1,interior,2,37.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
115000,planta 1,exterior,3,77.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
136000,planta 3,exterior,3,87.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
109000,bajo,exterior,1,35.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
169000,planta 3,exterior,3,77.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
149000,planta 2,exterior,3,94.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
145000,planta 1,exterior,2,59.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
145000,planta 3,exterior,4,115.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
360000,planta 3,exterior,3,112.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
165000,planta 1,interior,3,69.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
125000,bajo,exterior,1,32.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
170000,planta 1,exterior,3,92.0,0,1,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
250000,planta 1,exterior,2,100.0,0,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
169700,planta 1,exterior,3,73.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
225000,planta 3,exterior,4,112.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
180000,planta 2,interior,3,75.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
290000,planta 1,exterior,4,134.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
165000,entreplanta,exterior,3,86.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
220000,planta 1,exterior,3,93.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
224990,bajo,exterior,3,96.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
367000,planta 3,exterior,2,85.0,1,1,San Isidro,carabanchel,199.0,6.64,11.27,10.92
198000,bajo,exterior,3,60.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
210000,bajo,exterior,2,92.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
120000,planta 4,exterior,2,67.0,1,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
134000,planta 2,exterior,3,62.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
420000,planta 1,exterior,4,130.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
285030,planta 3,interior,2,89.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
139000,planta 2,exterior,3,70.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
259000,planta 2,exterior,4,97.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
200000,planta 1,interior,3,86.0,0,1,Buenavista,carabanchel,0.0,8.35,10.42,10.92
214000,planta 1,exterior,3,112.0,1,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
220000,planta 2,exterior,3,90.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
126000,planta 4,exterior,2,70.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
250000,planta 2,exterior,2,111.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
226000,bajo,interior,3,80.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
214000,planta 1,exterior,3,112.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
130000,planta 1,exterior,2,54.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
225000,planta 1,exterior,3,75.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
65000,bajo,exterior,2,46.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
360000,casa,exterior,4,105.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
185000,planta 3,exterior,2,65.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
301600,planta 1,exterior,3,120.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
134000,planta 3,exterior,2,64.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
342000,planta 4,exterior,3,103.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
208800,planta 6,exterior,4,110.0,1,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
139000,planta 5,exterior,2,57.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
174000,planta 1,exterior,3,75.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
148730,planta 1,exterior,1,57.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
109000,bajo,exterior,1,61.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
263000,planta 1,exterior,3,118.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
120500,planta 2,exterior,1,56.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
115000,planta 3,exterior,2,83.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
135000,planta 2,exterior,3,69.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
170000,bajo,exterior,1,68.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
166000,planta 2,exterior,3,84.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
135000,planta 1,exterior,2,60.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
150000,bajo,exterior,2,64.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
160000,planta 3,exterior,2,76.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
160000,planta 1,exterior,1,55.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
150000,bajo,exterior,1,41.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
295100,bajo,exterior,2,111.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
260000,bajo,exterior,2,98.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
181000,planta 1,exterior,3,88.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
279400,bajo,exterior,2,102.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
245000,planta 1,exterior,2,81.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
140000,planta 4,exterior,2,67.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
225000,planta 1,exterior,2,65.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
142900,planta 1,exterior,3,71.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
135000,bajo,exterior,1,43.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
136000,planta 3,exterior,3,88.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
140500,planta 1,exterior,3,77.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
161000,planta 1,exterior,2,68.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
350000,planta 3,exterior,3,103.0,1,1,Abrantes,carabanchel,740.0,5.73,13.05,10.92
288000,planta 1,exterior,3,105.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
122000,planta 1,exterior,3,72.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
240000,planta 3,exterior,3,92.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
137000,planta 1,exterior,1,36.0,0,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
165000,planta 2,exterior,2,53.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
230000,planta 3,exterior,3,85.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
179000,planta 1,exterior,2,76.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
199000,entreplanta,exterior,3,84.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
264000,planta 2,exterior,4,127.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
239000,planta 3,exterior,3,96.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
265000,planta 2,exterior,2,85.0,1,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
226000,bajo,exterior,3,80.0,1,0,Comillas,carabanchel,1599.0,7.77,12.57,10.92
230000,planta 2,exterior,2,69.0,1,1,Buenavista,carabanchel,0.0,8.35,10.42,10.92
196000,planta 4,exterior,3,102.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
210000,planta 1,exterior,3,84.0,1,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
114680,planta 2,exterior,2,51.0,0,0,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
189500,planta 1,exterior,1,60.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
275000,planta 1,exterior,3,91.0,1,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
62500,planta 5,exterior,3,70.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
129000,planta 2,exterior,2,64.0,0,0,Buenavista,carabanchel,0.0,8.35,10.42,10.92
239000,planta 5,exterior,2,77.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
119000,planta 3,exterior,2,65.0,0,0,San Isidro,carabanchel,199.0,6.64,11.27,10.92
265000,bajo,exterior,3,101.0,1,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
112000,bajo,exterior,2,73.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
122100,planta 3,exterior,2,61.0,0,0,Vista Alegre,carabanchel,1803.0,10.87,13.03,10.92
249000,planta 2,exterior,3,109.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
296000,planta 10,exterior,3,111.0,1,1,Puerta Bonita,carabanchel,0.0,11.03,11.35,10.92
162000,planta 1,exterior,3,59.0,0,0,Abrantes,carabanchel,740.0,5.73,13.05,10.92
145000,planta 3,exterior,2,64.0,0,0,Opañel,carabanchel,762.0,9.53,10.68,10.92
