price,house_type,house_type_2,rooms,m2,elevator,garage,neighbourhood,district
3300000,Piso,exterior,6,600.0,1,1,Almagro,Chamberí
649700,Piso,exterior,5,125.0,1,0,Vallehermoso,Chamberí
1250000,Piso,exterior,3,142.0,1,0,Castellana,Salamanca
3100000,Chalet,interior,6,750.0,0,1,Piovera,Hortaleza
835000,Chalet,interior,4,302.0,0,1,El Plantío,Moncloa-Aravaca
1790000,Ático,exterior,1,130.0,1,0,Recoletos,Salamanca
460000,Ático,exterior,3,121.0,1,0,Berruguete,Tetuán
340000,Piso,exterior,3,81.0,1,0,Valdezarza,Moncloa-Aravaca
720000,Piso,exterior,3,142.0,1,0,Pacífico,Retiro
459000,Piso,exterior,1,60.0,1,1,Castillejos,Tetuán
309000,Piso,exterior,4,136.0,1,0,Los Ángeles,Villaverde
290000,Piso,exterior,2,82.0,1,1,Abrantes,Carabanchel
895000,Piso,exterior,2,101.0,1,1,Sol,Centro
214800,Piso,exterior,1,69.0,1,1,Rejas,San Blas-Canillejas
2500000,Piso,exterior,3,260.0,1,1,Argüelles,Moncloa-Aravaca
214900,Piso,exterior,2,72.0,1,0,Las Águilas,Latina
270000,Piso,exterior,1,60.0,1,0,Embajadores,Centro
270000,Piso,interior,1,50.0,1,0,Trafalgar,Chamberí
265900,Ático,exterior,4,128.0,1,0,Casco Histórico de Vallecas,Villa de Vallecas
420000,Piso,interior,1,54.0,1,0,Recoletos,Salamanca
930000,Piso,exterior,2,104.0,1,0,Recoletos,Salamanca
119000,Piso,exterior,1,33.0,1,0,Orcasitas,Usera
140000,Piso,exterior,1,54.0,1,0,San Diego,Puente de Vallecas
429000,Piso,exterior,2,76.0,1,0,La Chopera,Arganzuela
289000,Piso,exterior,2,73.0,1,1,Casco Histórico de Vallecas,Villa de Vallecas
639900,Piso,exterior,4,149.0,1,1,Casco Histórico de Vallecas,Villa de Vallecas
504000,Ático,exterior,3,117.0,1,1,Los Berrocales,Vicálvaro
879000,Piso,interior,2,87.0,1,0,Castellana,Salamanca
300000,Piso,interior,2,48.0,1,0,Imperial,Arganzuela
269000,Estudio,exterior,0,48.0,1,0,Pacífico,Retiro
144900,Piso,exterior,2,48.0,1,0,San Diego,Puente de Vallecas
270000,Piso,interior,1,48.0,1,0,Almenara,Tetuán
245000,Piso,exterior,1,48.0,1,0,Cuatro Caminos,Tetuán
210000,Piso,interior,2,48.0,1,0,Bellas Vistas,Tetuán
265000,Piso,exterior,1,48.0,1,0,Universidad,Centro
240000,Piso,interior,2,48.0,1,0,Ríos Rosas,Chamberí
220000,Piso,exterior,1,48.0,1,0,Casco Histórico de Barajas,Barajas
240000,Piso,interior,2,48.0,1,0,Justicia,Centro
170000,Piso,interior,2,196.0,1,1,Aluche,Latina
