Area,rooms,floor,price,elevator,exterior,district
50.0,2,3.0,123000,True,True,Villaverde 21
50.0,1,6.0,148000,True,True,Villaverde 21
50.0,2,2.0,140000,False,True,Villaverde 21
94.0,4,1.0,190000,True,True,Villaverde 21
80.0,3,1.0,150000,False,True,Villaverde 21
65.0,2,0.0,110000,False,True,Villaverde 21
105.0,3,2.0,190000,True,True,Villaverde 21
100.0,3,0.0,142000,True,True,Villaverde 21
64.0,3,1.0,95000,False,True,Villaverde 21
85.0,2,2.0,229000,True,True,Villaverde 21
72.0,3,2.0,140000,False,True,Villaverde 21
92.0,3,0.0,119000,True,True,Villaverde 21
106.0,3,1.0,145000,True,True,Villaverde 21
67.0,2,5.0,115000,False,True,Villaverde 21
60.0,2,0.0,150000,False,True,Villaverde 21
60.0,2,1.0,120000,False,True,Villaverde 21
60.0,3,1.0,105000,False,True,Villaverde 21
61.0,3,1.0,108000,True,True,Villaverde 21
115.0,3,4.0,147000,True,True,Villaverde 21
55.0,2,3.0,95000,False,True,Villaverde 21
65.0,3,0.5,99500,True,True,Villaverde 21
118.0,3,0.0,179000,True,True,Villaverde 21
80.0,3,3.0,100000,False,True,Villaverde 21
147.0,4,4.0,340000,True,True,Villaverde 21
108.0,4,2.0,156000,False,True,Villaverde 21
133.0,4,6.0,280000,True,True,Villaverde 21
90.0,3,5.0,139000,True,True,Villaverde 21
63.0,2,1.0,102000,False,True,Villaverde 21
115.0,3,4.0,148000,True,True,Villaverde 21
70.0,3,4.0,95000,False,True,Villaverde 21
71.0,3,5.0,100000,True,True,Villaverde 21
70.0,3,5.0,97000,False,True,Villaverde 21
100.0,3,4.0,179000,True,True,Villaverde 21
63.0,3,5.0,119000,False,True,Villaverde 21
105.0,3,5.0,260000,True,True,Villaverde 21
93.0,2,1.0,210000,True,True,Villaverde 21
80.0,2,1.0,250000,True,True,Villaverde 21
54.0,2,3.0,148000,False,True,Villaverde 21
64.0,2,0.0,99000,False,True,Villaverde 21
68.0,3,1.0,88000,False,True,Villaverde 21
100.0,3,5.0,299995,True,True,Villaverde 21
62.0,2,2.0,148000,False,True,Villaverde 21
78.0,3,1.0,127000,True,False,Villaverde 21
83.0,3,3.0,155000,False,True,Villaverde 21
68.0,3,2.0,97000,False,True,Villaverde 21
66.0,2,0.5,95000,False,True,Villaverde 21
65.0,3,3.0,110000,False,True,Villaverde 21
65.0,2,8.0,125000,True,True,Villaverde 21
70.0,2,0.0,196000,False,True,Villaverde 21
49.0,2,0.0,120000,False,True,Villaverde 21
100.0,3,4.0,210000,True,True,Villaverde 21
90.0,4,0.0,230000,True,True,Villaverde 21
65.0,3,0.5,107583,False,True,Villaverde 21
68.0,2,8.0,120000,True,True,Villaverde 21
90.0,3,1.0,140000,False,True,Villaverde 21
55.0,2,0.0,135000,True,True,Villaverde 21
70.0,2,3.0,126000,False,True,Villaverde 21
123.0,4,3.0,220000,False,True,Villaverde 21
74.0,2,2.0,198000,True,True,Villaverde 21
64.0,2,2.0,150000,False,True,Villaverde 21
80.0,3,0.0,160000,True,True,Villaverde 21
113.0,3,1.0,359900,True,True,Villaverde 21
89.0,3,4.0,174000,True,True,Villaverde 21
109.0,3,1.0,185000,False,True,Villaverde 21
120.0,3,4.0,180000,False,True,Villaverde 21
101.0,2,0.0,245000,True,True,Villaverde 21
75.0,2,3.0,146000,False,True,Villaverde 21
52.0,2,4.0,85000,True,True,Villaverde 21
75.0,3,0.5,139900,False,True,Villaverde 21
75.0,3,4.0,113000,False,True,Villaverde 21
30.0,1,0.0,72000,False,True,Villaverde 21
54.0,3,3.0,91957,False,True,Villaverde 21
65.0,3,3.0,109900,False,True,Villaverde 21
65.0,2,4.0,105000,False,True,Villaverde 21
60.0,2,0.0,70000,False,True,Villaverde 21
69.0,2,0.0,132000,False,True,Villaverde 21
65.0,3,0.5,120000,True,True,Villaverde 21
90.0,3,1.0,159000,False,False,Villaverde 21
100.0,3,3.0,230000,True,True,Villaverde 21
65.0,3,2.0,120000,False,True,Villaverde 21
60.0,2,3.0,138000,False,True,Villaverde 21
83.0,3,1.0,116675,False,True,Villaverde 21
76.0,2,2.0,109491,True,True,Villaverde 21
88.0,2,1.0,304000,True,True,Villaverde 21
67.0,3,1.0,150000,False,True,Villaverde 21
90.0,3,1.0,208000,True,True,Villaverde 21
75.0,3,1.0,114900,True,False,Villaverde 21
89.0,3,0.5,139000,True,True,Villaverde 21
66.0,2,1.0,116600,True,True,Villaverde 21
85.0,2,3.0,180000,True,True,Villaverde 21
68.0,2,3.0,207000,True,True,Villaverde 21
105.0,3,0.0,182260,False,True,Villaverde 21
85.0,3,2.0,159000,False,True,Villaverde 21
88.0,3,0.0,116000,False,True,Villaverde 21
160.0,2,5.0,260000,True,True,Villaverde 21
53.0,1,3.0,144000,True,True,Villaverde 21
89.0,3,5.0,235000,True,True,Villaverde 21
119.0,3,3.0,269000,True,True,Villaverde 21
65.0,3,3.0,97000,False,True,Villaverde 21
120.0,4,1.0,173000,True,True,Villaverde 21
85.0,3,4.0,140200,False,True,Villaverde 21
110.0,2,2.0,225000,True,True,Villaverde 21
116.0,3,5.0,295000,True,True,Villaverde 21
80.0,3,1.0,135000,False,True,Villaverde 21
115.0,3,6.0,275000,True,True,Villaverde 21
114.0,4,3.0,257000,True,True,Villaverde 21
110.0,3,6.0,274999,True,True,Villaverde 21
70.0,2,3.0,146750,True,True,Villaverde 21
86.0,2,2.0,218000,True,False,Villaverde 21
100.0,3,5.0,285000,True,True,Villaverde 21
124.0,3,1.0,260000,True,True,Villaverde 21
60.0,3,1.0,84900,False,False,Villaverde 21
62.0,3,2.0,108000,False,True,Villaverde 21
118.0,3,2.0,224000,False,True,Villaverde 21
92.0,2,0.0,154500,True,True,Villaverde 21
78.0,3,2.0,116050,False,True,Villaverde 21
70.0,3,1.0,129990,False,True,Villaverde 21
89.0,2,3.0,144801,True,True,Villaverde 21
92.0,3,1.0,147000,False,True,Villaverde 21
85.0,0,0.0,78000,False,True,Villaverde 21
80.0,3,0.0,99000,False,True,Villaverde 21
64.0,2,1.0,149999,True,True,Villaverde 21
78.0,2,0.5,146800,True,True,Villaverde 21
72.0,2,3.0,139000,True,True,Villaverde 21
60.0,3,6.0,66000,False,True,Villaverde 21
60.0,2,5.0,70000,False,True,Villaverde 21
59.0,2,3.0,99000,False,True,Villaverde 21
90.0,3,2.0,190000,False,True,Villaverde 21
61.0,2,2.0,93000,False,False,Villaverde 21
73.0,3,4.0,79900,False,True,Villaverde 21
108.0,3,4.0,143900,True,True,Villaverde 21
187.0,3,0.0,295000,True,True,Villaverde 21
62.0,2,2.0,107000,False,True,Villaverde 21
89.0,2,4.0,250000,True,True,Villaverde 21
68.0,2,1.0,164000,False,True,Villaverde 21
65.0,3,4.0,108000,False,True,Villaverde 21
70.0,3,5.0,119000,False,True,Villaverde 21
55.0,2,2.0,99900,False,True,Villaverde 21
90.0,2,0.0,215000,True,True,Villaverde 21
67.0,3,3.0,99000,False,True,Villaverde 21
110.0,2,3.0,225000,True,True,Villaverde 21
65.0,3,5.0,85000,False,True,Villaverde 21
57.0,3,3.0,109000,False,True,Villaverde 21
80.0,3,4.0,130000,True,True,Villaverde 21
110.0,4,3.0,199000,True,True,Villaverde 21
93.0,3,2.0,125000,False,True,Villaverde 21
120.0,3,6.0,250000,True,True,Villaverde 21
78.0,2,1.0,198500,True,True,Villaverde 21
147.0,4,7.0,350000,True,True,Villaverde 21
52.0,2,1.0,99900,False,True,Villaverde 21
102.0,3,5.0,245000,True,True,Villaverde 21
200.0,5,4.0,330000,True,True,Villaverde 21
69.0,2,0.0,119000,True,True,Villaverde 21
104.0,3,0.0,305000,True,True,Villaverde 21
80.0,3,3.0,107260,False,True,Villaverde 21
65.0,3,3.0,99000,False,True,Villaverde 21
62.0,2,2.0,93000,False,True,Villaverde 21
69.0,3,2.0,97000,False,True,Villaverde 21
65.0,3,2.0,95000,False,True,Villaverde 21
80.0,3,1.0,128000,False,True,Villaverde 21
116.0,3,6.0,280000,True,True,Villaverde 21
160.0,4,5.0,450000,True,True,Villaverde 21
83.0,3,8.0,147000,True,True,Villaverde 21
110.0,4,2.0,199000,True,True,Villaverde 21
75.0,3,2.0,125000,False,True,Villaverde 21
60.0,3,1.0,110000,False,True,Villaverde 21
75.0,2,1.0,125000,False,True,Villaverde 21
78.0,3,4.0,108300,False,True,Villaverde 21
106.0,3,1.0,249500,True,True,Villaverde 21
65.0,3,0.5,124000,False,True,Villaverde 21
95.0,3,5.0,164000,True,True,Villaverde 21
90.0,3,2.0,179000,True,True,Villaverde 21
79.0,3,1.0,135000,True,True,Villaverde 21
54.0,1,1.0,119000,False,True,Villaverde 21
78.0,2,1.0,107900,False,True,Villaverde 21
109.0,3,1.0,139000,True,True,Villaverde 21
100.0,3,1.0,184000,False,True,Villaverde 21
125.0,4,0.5,175000,True,True,Villaverde 21
50.0,2,0.5,99000,False,True,Villaverde 21
70.0,3,3.0,99000,False,True,Villaverde 21
60.0,2,1.0,68260,False,True,Villaverde 21
98.0,2,4.0,257000,True,True,Villaverde 21
104.0,3,1.0,155000,True,True,Villaverde 21
133.0,3,3.0,239000,True,True,Villaverde 21
114.0,3,3.0,175000,True,True,Villaverde 21
90.0,4,0.0,165000,True,True,Villaverde 21
124.0,3,3.0,245000,True,True,Villaverde 21
75.0,3,2.0,136000,False,True,Villaverde 21
70.0,3,3.0,109000,False,True,Villaverde 21
162.0,4,4.0,345000,True,True,Villaverde 21
108.0,3,3.0,195000,True,True,Villaverde 21
78.0,3,0.0,130700,False,True,Villaverde 21
60.0,1,0.0,123000,True,True,Villaverde 21
63.0,1,2.0,106900,True,True,Villaverde 21
75.0,3,0.5,140000,True,True,Villaverde 21
47.0,1,5.0,139000,True,True,Villaverde 21
80.0,4,2.0,165000,False,True,Villaverde 21
100.0,3,4.0,178000,False,True,Villaverde 21
49.0,2,0.0,145000,True,True,Villaverde 21
85.0,2,1.0,185000,True,True,Villaverde 21
106.0,3,1.0,245000,True,True,Villaverde 21
70.0,3,2.0,108000,False,True,Villaverde 21
134.0,4,2.0,292900,True,True,Villaverde 21
107.0,3,0.0,291000,True,True,Villaverde 21
52.0,1,1.0,124000,True,True,Villaverde 21
