,sq_mt_built,n_rooms,n_bathrooms,floor,buy_price,is_renewal_needed,built_year,has_lift,is_exterior,district
334,120.0,3,1.0,one,195000,False,1970.0,False,True,Villaverde 21
335,91.0,2,2.0,one,215000,False,1971.0,True,True,Villaverde 21
336,95.0,2,1.0,two,122000,False,1967.0,False,True,Villaverde 21
337,61.0,3,1.0,one,125000,False,1971.0,False,True,Villaverde 21
338,73.0,2,1.0,one,120000,False,1971.0,False,True,Villaverde 21
339,66.0,3,1.0,one,93000,True,1971.0,False,True,Villaverde 21
340,68.0,2,1.0,four,125000,False,1971.0,False,True,Villaverde 21
341,70.0,3,1.0,three,104840,False,1968.0,False,True,Villaverde 21
344,56.0,3,1.0,one,105000,False,1967.0,True,True,Villaverde 21
345,100.0,4,1.0,one,165000,False,1971.0,True,True,Villaverde 21
346,125.0,4,2.0,mezzanine,173000,False,1971.0,True,True,Villaverde 21
347,54.0,3,1.0,zero,71000,True,1965.0,False,True,Villaverde 21
348,130.0,4,2.0,two,168000,False,1971.0,True,True,Villaverde 21
349,68.0,2,1.0,mezzanine,99900,False,1971.0,False,True,Villaverde 21
350,85.0,3,1.0,three,128000,True,1975.0,False,True,Villaverde 21
351,75.0,3,1.0,three,120000,False,1974.0,False,True,Villaverde 21
352,80.0,2,1.0,one,95000,False,1971.0,False,True,Villaverde 21
354,69.0,4,1.0,three,85900,False,1971.0,False,True,Villaverde 21
356,70.0,3,1.0,two,142500,False,1971.0,False,False,Villaverde 21
357,56.0,2,1.0,four,109000,False,1965.0,False,True,Villaverde 21
358,90.0,2,1.0,four,140000,False,1971.0,False,True,Villaverde 21
360,71.0,2,1.0,one,120000,False,1971.0,False,True,Villaverde 21
361,76.0,3,1.0,two,110000,False,1971.0,True,True,Villaverde 21
362,114.0,4,2.0,two,299000,False,1971.0,True,True,Villaverde 21
363,90.0,3,2.0,three,180000,False,1971.0,True,True,Villaverde 21
364,70.0,3,1.0,one,85000,True,1971.0,False,True,Villaverde 21
365,80.0,3,1.0,zero,100000,True,1971.0,False,True,Villaverde 21
366,96.0,4,2.0,seven,170000,True,1971.0,True,True,Villaverde 21
367,50.0,1,1.0,two,125000,False,1971.0,True,True,Villaverde 21
368,85.0,3,2.0,one,230000,False,1971.0,True,True,Villaverde 21
369,90.0,3,2.0,five,300000,False,1971.0,True,True,Villaverde 21
370,60.0,3,1.0,mezzanine,120000,False,1971.0,True,True,Villaverde 21
371,90.0,2,2.0,seven,240000,False,1971.0,True,True,Villaverde 21
372,60.0,3,1.0,four,140000,False,1971.0,False,True,Villaverde 21
373,105.0,3,2.0,two,135000,False,1971.0,False,True,Villaverde 21
374,140.0,3,3.0,four,340000,True,2003.0,True,True,Villaverde 21
375,112.0,3,2.0,one,230000,False,1965.0,False,True,Villaverde 21
376,60.0,3,1.0,four,145000,False,1971.0,False,True,Villaverde 21
377,62.0,2,1.0,two,142450,True,1971.0,False,True,Villaverde 21
379,81.0,3,1.0,three,160000,False,1971.0,True,True,Villaverde 21
380,75.0,3,1.0,three,180000,False,1971.0,False,True,Villaverde 21
381,72.0,3,1.0,two,130000,False,1971.0,True,True,Villaverde 21
382,95.0,2,2.0,three,250000,False,1971.0,True,True,Villaverde 21
383,49.0,1,1.0,two,190000,False,1971.0,True,True,Villaverde 21
384,90.0,3,1.0,two,169000,False,1971.0,False,True,Villaverde 21
385,78.0,2,1.0,three,168000,False,1971.0,False,True,Villaverde 21
386,100.0,3,1.0,three,210000,False,1971.0,False,True,Villaverde 21
387,70.0,3,1.0,one,95000,False,1971.0,True,True,Villaverde 21
389,56.0,3,1.0,one,78000,True,1971.0,False,True,Villaverde 21
390,110.0,3,2.0,two,189000,False,1971.0,True,True,Villaverde 21
391,115.0,3,3.0,three,245000,False,1971.0,True,True,Villaverde 21
392,70.0,3,1.0,two,97000,False,1971.0,False,True,Villaverde 21
393,75.0,3,1.0,four,155000,False,1971.0,True,True,Villaverde 21
394,116.0,4,2.0,mezzanine,170000,True,1978.0,True,True,Villaverde 21
395,48.0,2,1.0,four,120000,False,2009.0,True,True,Villaverde 21
396,80.0,3,1.0,zero,125000,True,1971.0,False,True,Villaverde 21
397,81.0,3,1.0,two,139500,False,1971.0,False,True,Villaverde 21
398,95.0,4,2.0,seven,198000,True,1971.0,True,True,Villaverde 21
399,60.0,4,1.0,five,75000,True,1960.0,False,True,Villaverde 21
400,50.0,2,1.0,three,123000,False,1971.0,True,True,Villaverde 21
401,50.0,1,1.0,six,148000,False,1971.0,True,True,Villaverde 21
404,50.0,2,1.0,two,140000,False,1971.0,False,True,Villaverde 21
405,94.0,4,1.0,one,190000,False,1971.0,True,True,Villaverde 21
406,80.0,3,1.0,one,150000,False,1971.0,False,True,Villaverde 21
407,65.0,2,1.0,zero,110000,False,1971.0,False,True,Villaverde 21
408,105.0,3,2.0,two,190000,False,1971.0,True,True,Villaverde 21
409,100.0,3,1.0,zero,142000,False,1971.0,True,True,Villaverde 21
410,64.0,3,1.0,one,95000,False,1969.0,False,True,Villaverde 21
411,85.0,2,2.0,two,229000,False,1971.0,True,True,Villaverde 21
412,72.0,3,1.0,two,140000,False,1971.0,False,True,Villaverde 21
413,92.0,3,1.0,zero,119000,False,1971.0,True,True,Villaverde 21
414,106.0,3,1.0,one,145000,False,1971.0,True,True,Villaverde 21
415,67.0,2,1.0,five,115000,False,1971.0,False,True,Villaverde 21
416,60.0,2,1.0,zero,150000,False,1971.0,False,True,Villaverde 21
419,60.0,2,1.0,one,120000,False,1971.0,False,True,Villaverde 21
420,60.0,3,1.0,one,105000,False,1971.0,False,True,Villaverde 21
421,61.0,3,1.0,one,108000,False,1971.0,True,True,Villaverde 21
422,115.0,3,1.0,four,147000,False,1971.0,True,True,Villaverde 21
423,55.0,2,1.0,three,95000,False,1971.0,False,True,Villaverde 21
424,65.0,3,1.0,mezzanine,99500,True,1971.0,True,True,Villaverde 21
425,118.0,3,2.0,zero,179000,False,1971.0,True,True,Villaverde 21
427,80.0,3,1.0,three,100000,True,1971.0,False,True,Villaverde 21
428,147.0,4,2.0,four,340000,False,2003.0,True,True,Villaverde 21
430,108.0,4,2.0,two,156000,False,1971.0,False,True,Villaverde 21
431,133.0,4,2.0,six,280000,False,1971.0,True,True,Villaverde 21
