price,house_type,house_type_2,rooms,m2,elevator,garage,neighborhood,district,parking_spaces,education_centers,sports_centers,social_wellness_index,urban_mobility_index,education_index,employment_index,health_index
800000,planta 1,exterior,4,140.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
130000,planta 4,interior,2,34.0,0,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
443000,planta 8,exterior,3,108.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
364000,planta 3,interior,3,90.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
700000,planta 4,exterior,3,114.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
430000,planta 5,exterior,4,108.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
359000,planta 2,exterior,1,94.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
485000,planta 2,exterior,2,109.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
375000,planta 6,exterior,3,84.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
445000,planta 1,,2,92.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
150000,planta 1,,2,45.0,0,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
260000,planta 1,exterior,1,46.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
145000,planta -1,,1,32.0,0,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
749000,planta 2,exterior,4,160.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
203000,bajo,interior,2,52.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
468999,planta 4,exterior,2,107.0,1,1,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
320000,planta 1,exterior,3,70.0,1,1,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
396000,planta 1,exterior,2,78.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
450000,planta 1,exterior,3,120.0,1,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
295000,planta 1,exterior,3,76.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
399000,planta 2,interior,3,90.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
295000,planta 3,exterior,2,71.0,1,0,Imperial,arganzuela,1026.0,6.0,1.0,5.81,5.36,6.37,5.14,5.73
239000,planta 3,exterior,3,55.0,0,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
675000,planta 6,exterior,4,180.0,1,0,Delicias,arganzuela,512.0,14.0,1.0,6.35,7.14,6.22,5.81,6.34
176500,planta 1,exterior,1,52.0,0,0,Palos de Moguer,arganzuela,663.0,16.0,1.0,6.19,9.22,4.5,6.45,5.89
310000,bajo,exterior,1,74.0,1,0,Legazpi,arganzuela,0.0,6.0,1.0,6.38,4.52,5.81,4.57,7.24
670000,planta 1,exterior,4,169.0,1,1,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
465000,planta 3,exterior,4,120.0,1,0,Chopera,arganzuela,1042.0,15.0,0.0,5.86,7.05,4.66,6.68,6.66
275000,bajo,exterior,2,123.0,1,0,Acacias,arganzuela,1389.0,15.0,1.0,5.93,5.61,6.33,5.05,5.71
